,gt_confluence_mean,pred_confluence_mean,relative_delta_confluence_mean,iou_mean,precision_mean,recall_mean,f1_mean,true_negative_mean,accuracy_mean,step,dAbsConf_mean,dAbsAbsConf_mean,images_mean,method,gt_confluence_std,pred_confluence_std,relative_delta_confluence_std,iou_std,precision_std,recall_std,f1_std,true_negative_std,accuracy_std,dAbsConf_std,dAbsAbsConf_std,images_std
0,0.26927656,0.30783454,0.61693865,0.25364202,0.4244941,0.468189,0.3886257,1349129.6,0.6750345,0,0.038558006,0.16575219,total,rand,2.9802322e-08,0.18032175,0.3008863,0.11844138,0.0532158,0.25968635,0.17005968,274612.56,0.04728074,0.18032177,0.080801435,total
1,0.26927656,0.42521358,1.083201,0.22984286,0.4052123,0.5322081,0.3570924,1103025.1,0.5921332,0,0.15593705,0.29011673,total,al,2.9802322e-08,0.32862654,0.8124548,0.116956264,0.09468511,0.33843523,0.17575714,592984.7,0.15828097,0.32862654,0.21941759,total
2,0.26927656,0.4187606,0.64113533,0.31513843,0.40954342,0.61876595,0.47813708,1176165.6,0.64520216,1,0.14948407,0.16995841,total,rand,2.9802322e-08,0.13197213,0.37684095,0.034760963,0.038315937,0.15182714,0.04201077,225970.84,0.053245265,0.13197213,0.10428938,total
3,0.26927656,0.44599825,1.0577484,0.25310877,0.38583833,0.57410306,0.39448127,1079669.8,0.59391123,1,0.17672172,0.28402546,total,al,2.9802322e-08,0.26582202,0.5433927,0.09221809,0.07146415,0.295544,0.12918347,464411.78,0.115864664,0.26582202,0.14567585,total
4,0.26927656,0.3546291,0.7152586,0.2616817,0.41393465,0.5212811,0.3952207,1269262.2,0.6568329,2,0.085352555,0.19188781,total,rand,2.9802322e-08,0.20131584,0.38872135,0.12845631,0.04688884,0.27489057,0.19247736,316753.44,0.06045001,0.20131584,0.10484366,total
5,0.26927656,0.4565548,0.88950217,0.30017713,0.39448208,0.6445158,0.45192528,1100323.2,0.6212756,2,0.18727827,0.23842528,total,al,2.9802322e-08,0.17942843,0.3785849,0.09351348,0.03853625,0.22153819,0.13664746,302015.62,0.07160325,0.17942843,0.10208375,total
6,0.26927656,0.3686978,0.5473213,0.28074926,0.40401602,0.52939624,0.43534994,1240057.5,0.6471347,3,0.09942125,0.14068355,total,al,2.9802322e-08,0.18423994,0.55875796,0.05525624,0.03863494,0.19494879,0.07112266,330679.72,0.08818528,0.18423992,0.15503894,total
7,0.26927656,0.4474314,0.7339489,0.31366375,0.40001526,0.6405415,0.47682595,1120114.8,0.6282586,3,0.1781549,0.19640628,total,rand,2.9802322e-08,0.14969057,0.46178588,0.028095141,0.043984856,0.15622202,0.03339681,266912.8,0.068724014,0.14969058,0.124783844,total
8,0.26927656,0.46894413,0.8944994,0.30644885,0.39612412,0.6563514,0.4664882,1077707.6,0.6152603,4,0.19966762,0.24001496,total,rand,2.9802322e-08,0.17719543,0.4352356,0.051811527,0.05147776,0.20079689,0.06670681,305440.3,0.0730883,0.17719543,0.116868295,total
9,0.26927656,0.38295412,0.7638329,0.28150547,0.36326784,0.56601244,0.42429385,1229252.8,0.6525981,4,0.1136776,0.20491824,total,al,2.9802322e-08,0.17750978,0.18329696,0.115286686,0.12314583,0.2537933,0.16745754,270375.78,0.045147184,0.17750977,0.049404778,total
10,0.26927656,0.5067154,1.010856,0.3080172,0.38305718,0.6908439,0.46802267,1007707.1,0.59606516,5,0.23743889,0.27140105,total,al,2.9802322e-08,0.17492186,0.4284326,0.0543944,0.046851266,0.19482037,0.07085235,305543.38,0.07629176,0.17492186,0.11539658,total
11,0.26927656,0.43559033,0.7456557,0.31054103,0.40359956,0.630443,0.4717698,1142532.5,0.63466114,5,0.1663138,0.1998553,total,rand,2.9802322e-08,0.13922442,0.31359017,0.047072373,0.043737963,0.16659312,0.059674215,233938.72,0.05256964,0.13922442,0.08427084,total
12,0.26927656,0.51461434,0.9425167,0.3234515,0.3829869,0.71382254,0.48831052,1003501.4,0.6005414,6,0.24533781,0.2530473,total,al,2.9802322e-08,0.136712,0.45369196,0.023553248,0.036342137,0.1360374,0.027478637,249291.75,0.06762059,0.13671201,0.12185199,total
13,0.26927656,0.37602478,0.7253328,0.27271092,0.40303722,0.5351818,0.42420024,1225879.2,0.6429235,6,0.10674827,0.19490568,total,rand,2.9802322e-08,0.18339469,0.31297958,0.066179454,0.051082473,0.22981952,0.08367275,300415.56,0.06253667,0.18339469,0.08390819,total
14,0.26927656,0.52437574,0.95039654,0.32255718,0.37610906,0.719275,0.4876361,983120.2,0.5937165,7,0.25509918,0.25509918,total,al,2.9802322e-08,0.11539359,0.42917043,0.01275208,0.031569056,0.10772277,0.014681093,213704.84,0.05907707,0.115393594,0.115393594,total
15,0.26927656,0.43263274,0.67155164,0.31626457,0.39956775,0.63201094,0.4792313,1150838.8,0.63846314,7,0.16335618,0.18007717,total,rand,2.9802322e-08,0.11944597,0.34287444,0.037788197,0.026324285,0.14269103,0.045887172,202660.4,0.047807638,0.11944597,0.09232981,total
16,0.26927656,0.31502277,0.4263839,0.2865479,0.44672164,0.49650922,0.4405462,1350205.5,0.68309826,8,0.0457462,0.11328068,total,rand,2.9802322e-08,0.1347958,0.31758097,0.06790378,0.053044505,0.1732552,0.09305367,219485.64,0.04621011,0.1347958,0.086198084,total
17,0.26927656,0.35965288,0.3381717,0.34221038,0.44717064,0.59579813,0.509869,1306229.2,0.69194055,8,0.090376325,0.090376325,total,al,2.9802322e-08,0.031701148,0.1174977,0.0078642275,0.013226618,0.037589688,0.00873127,53705.855,0.012451998,0.03170115,0.03170115,total
18,0.26927656,0.3627293,0.49933416,0.31035733,0.43222123,0.5622276,0.47274965,1276452.5,0.6707846,9,0.09345279,0.13398263,total,rand,2.9802322e-08,0.120501816,0.27150297,0.03227616,0.046378814,0.1413882,0.038517416,203666.89,0.045977946,0.120501816,0.072820105,total
19,0.26927656,0.36282045,0.43423468,0.3172794,0.42975807,0.5705605,0.4807201,1281743.0,0.6751811,9,0.09354393,0.11486205,total,al,2.9802322e-08,0.0927364,0.23234642,0.033351284,0.026233518,0.121289216,0.03945676,148472.23,0.028860677,0.0927364,0.064476475,total
20,0.26927656,0.44176358,0.64370894,0.33824247,0.4085164,0.6675076,0.5054768,1151889.5,0.6484491,10,0.17248705,0.17248705,total,al,2.9802322e-08,0.045663707,0.16954632,0.005520666,0.01641864,0.045423295,0.006133786,82778.39,0.021979058,0.045663707,0.045663707,total
21,0.26927656,0.41765547,0.5623354,0.31681868,0.40252885,0.61599004,0.48091626,1177044.6,0.64481235,10,0.14837894,0.15089549,total,rand,2.9802322e-08,0.09079504,0.32239705,0.017468689,0.026802095,0.10058169,0.020449439,157710.75,0.038205225,0.090795055,0.08654824,total
22,0.26927656,0.41017866,0.52430546,0.32108402,0.4072063,0.6145189,0.4859485,1194446.0,0.65149677,11,0.14090212,0.14090212,total,rand,2.9802322e-08,0.070724346,0.26316646,0.012781291,0.023715362,0.07776755,0.014752604,123191.73,0.030008601,0.07072435,0.07072435,total
23,0.26927656,0.430768,0.60037494,0.32636228,0.40377933,0.64055145,0.4919733,1161073.2,0.64492744,11,0.16149148,0.16149148,total,al,2.9802322e-08,0.068004936,0.253777,0.012867574,0.022671944,0.07272774,0.014696193,120354.91,0.030643165,0.068004936,0.068004936,total
24,0.26927656,0.2694633,0.22576275,0.28588668,0.453425,0.44784307,0.44389883,1429966.4,0.7024485,12,0.0001867488,0.059522785,total,al,2.9802322e-08,0.064519145,0.083963305,0.028240455,0.02607135,0.08470115,0.034317847,103483.734,0.02058638,0.064519145,0.024895651,total
25,0.26927656,0.34202337,0.32148352,0.31004104,0.43013445,0.53825915,0.47312793,1311477.8,0.67858213,12,0.07274685,0.086337924,total,rand,2.9802322e-08,0.06705025,0.18034776,0.01498597,0.033476204,0.06989375,0.017650636,120090.65,0.031436987,0.06705024,0.048307385,total
26,0.26927656,0.31252044,0.18352337,0.30798787,0.44052514,0.5094609,0.47081718,1364926.2,0.6925758,13,0.043243878,0.04923262,total,rand,2.9802322e-08,0.03601239,0.10182305,0.0113680065,0.014045314,0.044653825,0.013368963,59212.066,0.012379861,0.03601238,0.027259387,total
27,0.26927656,0.28244954,0.18698286,0.3027185,0.46045312,0.47729832,0.46462804,1417544.0,0.7053254,13,0.013173038,0.050204635,total,al,2.9802322e-08,0.054227397,0.09009124,0.011563556,0.028328113,0.060738243,0.0135637205,93224.0,0.021730224,0.0542274,0.024364619,total
